date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:17	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2019%20Jan%202024%2016:05:24%20GMT	https://deltasoftwaresolutions.net/robots.txt		(from )
21:35:20	88990/88990	---M--	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2016:05:26%20GMT	https://deltasoftwaresolutions.net/careers/	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/careers/index.html	(from )
21:35:21	29404/29404	---M--	200	added ('OK')	text/css	etag:%2272dc-60d76cc42db6b%22	https://deltasoftwaresolutions.net/wp-content/plugins/layerslider/assets/static/layerslider/css/layerslider.css?ver=7.9.6	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/plugins/layerslider/assets/static/layerslider/css/layerslider27b2.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:22	2859/2859	---M--	200	added ('OK')	text/css	etag:%22b2b-5fc9677ec825b%22	https://deltasoftwaresolutions.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/plugins/contact-form-7/includes/css/stylescfaa.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:23	32208/32208	---M--	200	added ('OK')	text/css	etag:%227dd0-60d76ca234e90%22	https://deltasoftwaresolutions.net/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=3.1.1	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/plugins/essential-grid/public/assets/css/settingsb12b.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:23	110035/110035	---M--	200	added ('OK')	text/css	etag:%221add3-609a23a9cb800%22	https://deltasoftwaresolutions.net/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-includes/css/dist/block-library/style.min1e39.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:24	13191/13191	---M--	200	added ('OK')	text/css	etag:%223387-60d76ca24e4f8%22	https://deltasoftwaresolutions.net/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello.css?ver=3.1.1	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontellob12b.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:26	11499/11499	---M--	200	added ('OK')	text/css	etag:%222ceb-609a32e9453b4%22	https://deltasoftwaresolutions.net/wp-content/themes/HighendWP/assets/css/responsive.css?ver=3.9.4	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/themes/HighendWP/assets/css/responsivef3c8.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:27	9023/9023	---M--	200	added ('OK')	text/css	etag:%22233f-609a32f6f07ad%22	https://deltasoftwaresolutions.net/wp-content/uploads/highend/dynamic-styles.css?ver=1699446340	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/uploads/highend/dynamic-styles078b.css	(from https://deltasoftwaresolutions.net/careers/)
21:35:28	112761/112761	---M--	200	added ('OK')	text/css	etag:%221b879-609a32e944f92%22	https://deltasoftwaresolutions.net/wp-content/themes/HighendWP/assets/css/icons.css?ver=3.9.4	C:/Users/User/Desktop/git/delta/deltasoftwaresolutions.net/wp-content/themes/HighendWP/assets/css/iconsf3c8.css	(from https://deltasoftwaresolutions.net/careers/)
